,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Class
0,372.92203,362.6913,350.63812,210.8773,214.75081,164.38365,212.3516,251.4654,312.6156,205.60248,1391.4722,159.75049,122.36173,113.72629,277.6809,121.005295,158.83286,243.68231,288.03723,410.0701,441.60355,379.8768,1398.7834,278.716,301.12616,239.11705,477.2661,0
1,240.19547,240.12958,256.62112,252.72621,170.48306,281.75586,174.03131,173.71799,255.81352,238.5696,1427.168,184.71503,135.5878,100.2147,204.60022,281.4342,325.38364,434.73547,435.28314,518.0449,914.143,449.55862,2467.9111,4137.2305,3146.771,2503.685,910.9932,0
2,1517.8735,1229.6251,1227.2352,1408.0652,1701.6107,1425.3519,1373.9668,1437.9149,1633.4954,1862.8259,1739.5151,1861.4957,1799.5569,2314.3167,1630.7493,1676.1675,1445.5511,1349.4707,1676.284,1532.1061,1503.2603,1570.2098,1742.7628,1926.927,1565.9733,1381.2252,1356.1907,0
3,2443.0737,3847.7566,10229.559,3523.6807,6001.053,8588.636,15606.876,9383.27,9314.141,4888.855,7578.763,8542.561,6993.378,4309.377,308.34467,86.86575,57.78449,5.6253295,2.9655285,2.965872,2.965872,1.3545805,3908.442,161.7076,52.62399,2.9529881,3.2751338,0
4,9062.741,11081.287,10685.924,8698.271,5733.8984,8995.766,8062.0996,9380.41,5809.6294,5657.079,7049.233,8797.438,15244.262,25340.262,23412.88,21283.285,26272.488,28703.637,52994.87,59666.29,20668.38,10549.264,3290.1765,5431.465,9030.6875,10763.368,9192.955,0
5,1002.1604,2744.1934,2506.3484,3510.7593,2052.6924,2015.999,1901.7971,1128.3435,1105.1416,881.47845,2126.689,896.12885,697.3058,1258.6329,804.6132,820.2418,765.3355,639.77814,618.218,686.9313,708.688,772.27637,1673.9071,1277.0375,955.12604,1460.481,1178.9047,0
6,892.8607,1050.1323,990.7674,18091.422,11017.896,17399.658,6807.0186,4446.593,3575.7183,1127.8275,1640.3617,1292.492,1091.755,2220.4983,1494.1863,1128.2191,5531.534,7536.233,12179.372,7585.084,14228.158,9352.273,11199.334,1266.38,1687.5369,2395.4102,12033.997,0
7,1654.5034,1289.7836,1172.9539,1168.4076,2632.2175,1096.4858,1075.2871,1353.5807,1345.0367,1316.7638,4126.167,1720.5425,1505.9237,1207.981,1754.3401,1237.2771,1728.6248,1670.3115,1297.3906,1105.782,1247.1807,1551.384,3496.4097,1527.2538,1512.5946,1392.0825,1324.278,0
8,1037.5563,1303.4493,1070.6272,2682.1978,2532.0073,2455.8464,2466.6882,4001.4043,2539.5632,2342.676,2843.09,2056.0232,2073.1204,2578.994,2375.8083,1559.9769,2086.656,2929.1484,1807.6102,2570.7227,2343.444,1773.1832,2219.3384,1944.4623,1802.9059,1005.20636,1768.2592,0
9,1978.8009,771.81195,740.67596,683.89136,1553.7072,1154.0864,1755.518,840.8566,973.73553,1572.5483,1483.7556,1248.8077,2912.434,1081.0522,2030.8479,707.08325,599.2337,625.6541,1406.034,1893.144,1043.3624,919.02545,2953.3577,1342.4132,1888.3394,1047.0156,1261.6531,0
10,762.724,1244.5837,656.6564,653.4499,1359.235,629.48224,604.8663,438.54788,213.97945,304.40854,6718.2573,326.52872,188.33696,899.34143,338.67517,472.16138,943.0254,387.62823,991.7357,940.9949,2214.024,3703.0796,12271.39,1420.0748,2018.3595,847.5135,329.09256,0
11,468.74115,419.85782,1222.8938,968.3427,346.05267,542.3926,162.0874,632.58765,815.26984,28072.857,7515.2314,506.37497,780.92444,192.08197,816.68024,311.70938,521.631,826.7468,222.7787,2282.7153,1821.2657,14537.852,30444.877,500.5891,616.8506,271.97757,608.1757,0
12,1803.2607,1100.4148,1098.6609,2625.0254,1225.7085,1395.4191,2182.4058,1106.8477,1173.0485,1301.4866,3410.4553,1549.7622,1397.2715,973.4398,966.4523,952.7432,928.6335,1273.8848,2988.846,1746.2416,2474.6155,1801.4701,3837.5283,1261.1925,1350.1643,1455.5034,1448.361,0
13,1949.4639,1213.407,1169.0417,1093.4432,686.2183,1160.3024,1202.2397,1185.8044,1114.5475,1240.4592,1684.3175,762.71924,794.2759,3158.819,866.3281,746.90985,1840.1959,1014.82715,1191.8643,1359.8881,1449.6942,1921.4224,2462.788,1823.4296,2161.6196,1200.4331,1525.2058,0
14,38129.61,14317.572,5394.379,1259.6047,1297.9906,2393.029,611.56836,500.87106,1078.108,774.19336,1521.5833,81.7407,54.280376,46.96886,193.49359,104.82684,14.386753,32.89881,55.35704,66.3785,20.613297,68.44405,1198.909,140.61893,179.87088,129.27751,31.698023,0
15,4014.4783,4440.758,3658.1025,8952.014,4154.6587,3289.3652,5165.485,7882.4385,8285.792,4991.24,3628.5278,2608.4246,2952.5996,4010.4102,3197.5781,2244.1807,2474.7087,4406.3438,2476.9338,2069.5034,1326.0408,1338.962,3050.3354,3723.4062,20499.39,12664.05,7656.718,0
16,5992.4834,4789.77,6829.0713,12502.1875,19179.633,11871.702,6454.1533,7264.0947,4115.764,4196.11,3298.9783,1889.7216,1706.2281,1325.3209,1656.3318,2817.3086,1575.6884,1554.7703,2206.383,3786.647,3995.39,4885.825,4415.773,1983.6309,2242.3972,4492.4907,4588.675,0
17,6081.0884,5332.914,2413.5537,2458.822,2555.8645,1978.4282,3571.3926,1669.5818,1861.1337,2037.9244,2911.4783,1578.2267,2874.9954,1838.2267,735.1297,827.13684,1698.8818,1525.4829,1248.5166,1002.13025,1072.4207,1757.0454,4817.4795,1341.646,1514.9915,1984.0842,916.8045,0
18,18638.861,3771.4312,3416.0952,3843.4604,3991.303,3739.3801,30775.559,6517.1445,8356.615,8220.718,11730.797,12650.121,50564.008,11206.611,11754.317,12957.0625,77034.61,11507.599,9544.905,18712.121,31274.47,5271.3247,5527.817,4491.747,27120.916,6851.7847,5027.1865,0
19,2007.3088,1331.241,1239.1577,2171.0115,1855.4524,1253.416,1956.9126,2980.2883,2182.9917,3105.4548,3302.0552,2370.0642,2040.8677,1754.0609,2047.8862,2526.4434,2831.0916,2947.3884,2909.0715,5328.8223,2743.8413,5156.71,3551.57,2746.8652,5354.0522,6568.3164,3149.0752,0
20,818.0884,3047.3745,360.19193,229.40736,845.2107,130.36185,143.12563,491.90326,92.29072,135.10945,5360.7383,2007.968,1909.2998,8627.103,6765.2656,7550.7734,1867.99,1853.6852,2927.1895,3547.3696,4313.0737,2567.195,3451.8855,946.59705,969.1043,718.35254,666.99915,0
21,1486.8467,1056.4956,1054.6458,1323.8011,1047.747,4864.679,707.7551,801.12244,1610.6909,4189.611,2769.981,14224.61,54942.85,1982.2654,2156.6187,527.64606,476.49432,1043.3691,604.19183,813.5958,816.0561,3347.3599,5719.362,15854.502,10526.386,37550.695,12076.1875,0
22,1356.1877,2116.4858,1312.8823,1645.94,1049.8385,1314.6603,1698.0411,1685.9336,1466.0935,1354.2931,2270.8953,2203.4136,1476.1642,1543.0762,1655.8262,2133.5479,2353.7117,1723.3646,1488.1218,2077.629,1819.6078,2422.5125,2148.1284,1519.0754,1712.5024,1756.4833,2556.4365,0
23,1388.6106,3191.431,4391.6265,2410.744,1808.1213,1587.308,1347.9476,1752.765,1447.2555,1665.9349,3852.0286,945.47064,863.8809,2490.2324,1315.3422,1573.0957,2919.1035,3230.5442,7339.7715,3525.9983,1996.729,1779.6827,2759.443,2261.3652,1125.2656,1361.575,2850.7683,0
24,517.072,495.64392,269.50684,233.51541,181.38254,373.92627,212.21513,214.10373,507.11316,399.18704,2054.578,528.2895,302.7684,264.41754,358.33835,304.8059,161.42377,336.306,366.61588,395.32343,392.4846,357.26022,2089.7712,631.8461,485.1416,318.13507,396.3845,0
25,1642.1217,1771.5061,2220.4597,3077.88,1911.4327,1723.0757,1528.9429,1542.7981,1345.6575,2777.6804,1966.6808,1489.3949,1393.8955,1536.1204,2119.6924,1875.0752,1840.4644,1803.836,1825.582,2905.1477,2060.5466,2365.3354,1817.6682,1845.4031,1518.1278,1337.8236,1991.6133,0
26,1468.0476,1353.3223,1595.6616,3675.595,1659.616,1664.5151,2433.6753,1359.6947,1434.7041,1603.4563,1735.8433,1706.2919,1722.5579,1845.3112,1357.3772,1450.1178,2509.401,1706.7013,2183.371,1905.2458,2182.6062,2215.6282,3442.6567,3760.528,1606.1812,1543.5272,2829.6506,0
27,1142.7438,914.2616,686.094,623.2152,589.0944,1253.0013,532.76434,409.7893,596.38367,626.2651,1683.3859,646.44617,620.61444,876.51697,556.95886,990.1263,546.35,465.2013,433.82916,434.33182,650.8881,589.14984,1748.176,612.19556,592.9621,1542.488,742.6972,0
28,1183.9512,862.2374,877.57715,807.6912,454.243,577.0842,792.1635,847.5584,687.4373,1904.4668,2514.683,1091.8083,1213.0277,1385.4982,1007.7441,961.1627,1225.7045,899.4518,839.71454,783.83875,995.37964,1236.4434,2959.007,1219.5624,972.4081,1060.5026,997.3581,0
29,385.98523,295.0747,374.1026,215.43188,108.69087,150.97586,485.25934,87.25819,125.366066,195.34273,1806.3265,177.10835,166.26288,458.61682,78.71156,68.29504,363.46906,90.376526,46.154068,89.51042,139.70543,123.08323,1601.282,180.31631,225.92722,104.12096,137.08601,0
30,998.53577,837.7409,956.04663,497.7519,551.62854,428.5872,442.41104,1653.284,767.4586,847.9238,2993.9773,763.7829,800.6569,1172.7823,796.4173,825.37286,1376.4246,924.6065,799.9883,956.8449,726.56305,826.2303,2505.7075,864.18353,802.9033,1023.72943,653.8146,0
31,629.6876,560.01666,537.5104,653.6428,556.1463,432.38824,365.42908,316.8657,371.86948,489.326,1696.6226,486.16064,411.30472,387.13022,368.1906,455.76797,400.2457,307.72977,309.07596,264.22528,434.97272,502.96417,1533.6924,477.62817,411.53702,457.48297,443.20932,0
32,569.02,678.00696,719.216,767.979,473.40558,376.5276,385.10577,1486.5793,614.1598,629.6627,2517.936,778.95654,725.5372,701.1067,674.09174,1369.7158,762.42004,968.49744,504.99982,625.2255,768.27704,720.204,2160.3464,1005.16315,1211.7468,843.58716,667.8863,0
33,695.4296,773.26276,1251.8359,898.94073,1011.68604,670.34235,964.14056,713.5544,469.80634,618.8804,2510.7585,738.22144,816.9574,793.6921,526.28815,565.4246,446.62875,1050.1051,605.94794,679.98816,825.83496,613.8215,2259.6816,632.09766,561.38043,662.2866,505.70166,0
34,5106.6455,3216.468,4359.8677,3897.7607,6024.6206,4247.5205,8435.681,4301.1113,3776.3005,3411.9333,4392.817,4292.197,3752.602,4702.175,3812.029,4207.1797,6204.707,3447.9731,3852.7393,3119.8652,4467.703,3364.7988,5464.3745,4119.3315,3507.8171,4362.8047,3590.4768,0
35,1281.8044,852.7344,1040.3046,1259.0701,1049.4685,748.6817,848.10425,1305.4442,2768.53,1996.9425,3555.115,1996.4664,2058.626,3895.743,2089.4407,1569.8176,1868.7266,1406.4417,2240.183,1981.2908,1331.2177,1467.7617,2717.8276,1627.3601,1252.3751,1320.1525,917.057,0
36,1358.3291,1440.8047,1675.9934,1504.2426,2366.434,1944.2164,1087.9642,680.94714,1038.7869,1739.4509,2185.8335,1107.2505,1100.1205,1735.5723,3268.9219,2161.867,1571.158,2091.971,1956.3661,2672.1636,2645.107,2507.8154,3056.7053,3205.5283,3018.03,3789.1963,2726.523,0
37,391.02432,605.50085,423.10162,356.5433,606.1423,177.82555,185.78911,724.64606,248.61783,275.3105,1704.5701,166.80716,154.24092,976.0567,205.01613,293.10092,315.8381,257.8136,265.7632,449.47366,225.86879,314.67163,1705.7412,220.53642,187.20984,653.838,241.94,0
38,2388.9292,2664.1484,2649.0864,1776.5032,1955.4608,1876.1396,1729.9917,2626.696,5229.542,2181.0583,4157.72,2719.337,3271.9312,2671.7524,1449.769,1868.7269,1871.964,1054.7183,1886.9946,1239.6143,1542.7189,1852.7244,2834.5613,1965.1719,1927.2461,1371.3215,1982.9558,0
39,2725.6475,6271.0566,1169.6731,952.0995,2305.1523,1233.1099,1133.58,1279.7781,1888.4243,1892.5831,2273.3606,1683.5029,2730.3062,1606.34,5849.2856,2221.6873,1305.3395,1365.6212,3834.9956,1319.4413,1623.7229,965.4982,2166.5208,113.099106,77.60606,0.0,0.0,0
40,617.1598,369.80133,345.04065,446.29776,351.09085,437.0409,311.11096,236.2486,356.32574,407.3933,2263.9802,334.02817,338.25146,434.75497,234.54071,608.53955,473.32196,459.9488,1110.2129,533.4739,612.87317,595.63684,2997.868,720.90857,544.0219,712.0763,397.09247,0
41,955.33545,1413.5212,1669.3175,1584.9607,2194.7517,2169.1626,3756.4976,3795.8257,8403.363,5902.644,16043.216,13263.709,7352.722,9639.208,20917.045,11704.258,10258.058,7034.3623,5300.5576,3277.8481,3979.6672,1281.0895,2761.4004,1723.9797,4755.951,1976.67,1921.1213,0
42,857.01337,517.7525,776.9691,837.7207,923.5425,1180.6696,864.77325,2574.4302,2653.7212,28067.16,57259.08,10284.818,6977.029,8773.556,6187.4355,9512.3,9561.144,3268.5264,3038.9592,7226.433,2214.2275,2002.1838,3039.3948,1183.5571,1665.8845,1150.125,975.9801,0
43,1052.6476,1049.8729,397.3471,556.37177,535.6697,584.0127,825.1546,761.0646,936.19006,631.0546,1648.5789,622.934,509.8612,481.68915,460.40643,718.2456,372.06958,322.3618,409.81885,294.8168,400.53574,391.09265,1508.1155,723.0484,445.4289,363.08105,323.51538,0
44,1155.3904,882.2742,1300.5569,1353.2407,1267.3115,1862.8802,796.22504,1031.4036,1253.284,1642.8364,2389.4048,3035.2842,2413.803,1852.9404,1666.4653,2116.6184,3331.6252,2078.4604,1306.5393,696.4759,943.04114,621.95856,1290.8757,823.46576,369.41647,398.0283,270.69604,0
45,1402.6436,1970.3965,1076.2899,1932.3364,840.21747,843.75745,882.8702,1599.2278,724.8357,1919.7999,2376.8433,4367.3906,10300.379,5414.729,6001.3774,10483.218,5160.181,5545.1006,5719.9497,7911.336,7655.364,5507.741,6243.6045,7072.318,5367.2725,3566.89,4823.5312,0
46,671.2746,765.59845,500.75604,465.10046,861.45,713.09784,594.36505,817.0155,621.6552,692.7765,2422.1323,696.5371,631.90186,586.3503,568.2299,452.64722,846.59546,752.71497,714.80835,536.2782,517.5628,586.5443,2363.6519,564.36896,564.78656,643.2801,607.5643,0
47,735.2986,1197.8329,1185.7655,1007.44226,1005.40765,872.8357,732.0236,898.833,615.8272,710.07446,2020.127,781.02484,729.2227,910.5378,968.7486,554.05945,518.3908,465.49704,434.7962,954.0574,492.81097,516.9905,1877.1426,466.23322,492.29504,908.1231,908.74005,0
48,647.2066,580.7602,573.17926,2100.058,660.3822,586.7485,1150.9373,1234.2761,2331.2478,2011.1112,2249.246,405.7401,649.84204,2695.7913,483.22284,248.18127,297.34717,310.36295,1913.8359,380.6622,226.85321,331.25208,1245.7314,859.1001,574.3296,188.33203,141.48112,0
49,3816.9895,3413.783,2690.2427,2894.7302,4772.06,6477.4653,2808.0771,2412.9773,1988.0037,2172.0115,3840.973,4475.2236,1680.8643,1838.4543,1575.623,1383.9448,1576.0027,1281.154,1343.0071,1223.3232,1178.2944,1212.2051,2654.85,935.6308,892.2841,983.35803,690.25555,0
50,510.47064,313.88885,178.0801,193.09163,1734.2053,252.70442,144.18758,215.68997,834.16235,904.34155,1359.3834,239.4013,264.30853,275.79468,2067.8894,257.8315,155.70348,182.51929,201.98407,1890.2301,279.78204,279.2376,2647.4243,1228.539,1994.2579,306.16855,113.85911,0
51,3475.19,3779.9705,4554.6133,1027.8528,1995.8834,4669.296,1197.5281,1561.9135,2386.8848,1750.7905,3390.2878,3859.6526,2544.4226,1635.4358,5174.9717,4359.7686,2289.199,3071.5515,4085.9246,5750.6323,947.1797,1725.055,3261.1128,2049.3674,1611.0055,903.3915,1883.8302,0
52,6056.6226,9264.497,27695.986,19032.209,14540.615,9602.005,59128.625,68077.84,99753.56,10272.66,6653.978,5143.529,3333.9626,3749.8618,10530.785,17326.621,2106.3093,2165.2026,2016.7662,3515.994,2141.0337,1893.4844,2766.9167,2084.0276,2210.9792,7632.696,4700.002,0
53,1485.3002,1396.3612,725.91876,516.56055,473.95392,658.6313,429.413,568.44025,814.1696,629.9128,3070.8691,430.54312,378.83643,488.33978,325.41953,554.7213,871.4781,249.26613,336.6767,808.8091,408.6509,449.50925,2861.378,1232.1522,1495.5602,1181.1031,852.6534,0
54,1656.593,1282.6395,1200.3766,1001.8378,1697.0432,1582.5955,4857.9443,2110.6172,485.53076,562.2091,8225.964,3719.3958,5017.7466,4868.09,2933.0017,4823.1035,7578.85,5407.304,2498.7268,3817.317,5284.2324,2780.7922,3196.5674,1997.9089,1881.5558,3020.1572,1665.0337,0
55,716.1723,1747.5754,681.36487,895.6174,1906.3153,911.5161,765.4122,1036.0706,478.98526,730.6609,2650.7754,733.2185,1056.2043,3658.8003,2602.138,7769.0566,25202.234,27680.195,14529.695,11116.455,11401.609,16050.815,33300.715,415.03595,463.0165,5519.106,3756.7007,0
56,816.91455,1231.3922,1286.4681,2452.2104,2484.944,3520.7983,3247.3193,3661.0286,3687.0935,3501.353,3765.4426,3543.5918,3441.417,3125.3147,3129.652,8217.236,9015.645,12700.109,10916.396,2847.5413,4241.312,5037.438,6043.684,4693.0835,4658.346,3769.9934,4538.5005,0
