,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,0,0,0,255,255,510,510,255,255,255,255,0,255,255,0,0,255,0,0,0,510,255,510,510,765,1275,255,255,0
1,765,0,0,0,0,510,510,510,0,255,255,0,0,0,0,0,255,0,510,255,255,0,255,255,255,510,0,765,0
2,255,255,510,510,765,1530,1020,510,510,1020,1020,0,765,1530,765,2040,510,0,1020,1275,510,1020,255,255,1020,765,765,510,0
3,1020,0,1785,2295,1020,510,1020,765,765,2040,1530,510,255,510,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1275,1275,2040,765,765,1530,2550,2550,2550,765,1530,765,1275,1020,2805,1785,2805,1275,2805,1275,1530,1530,1020,1275,1020,3315,1530,2550,0
5,765,255,0,255,765,1020,255,255,0,0,255,1275,1275,510,255,510,1020,255,0,1020,1020,1275,1530,765,765,1275,255,0,0
6,255,1275,255,0,0,0,255,0,765,765,765,255,510,510,0,1020,1530,0,0,0,255,1020,510,510,510,0,0,0,0
7,255,0,0,0,0,765,1275,1530,0,255,510,765,0,0,0,0,0,255,510,255,0,0,0,255,0,0,0,0,0
8,765,0,0,510,0,510,765,255,255,0,510,0,0,0,765,765,765,510,510,510,0,510,765,765,0,510,510,765,0
9,1530,765,510,0,255,765,1275,510,255,510,1020,1020,0,0,765,510,0,0,0,0,255,510,255,510,510,1275,765,0,0
10,510,510,0,0,0,255,255,510,510,0,510,255,0,0,765,510,510,0,255,0,0,0,255,0,0,0,0,0,0
11,255,0,0,255,255,0,255,0,255,255,510,510,0,0,0,510,0,0,0,0,0,765,510,255,0,0,0,255,0
12,0,0,0,0,0,0,0,0,0,255,510,510,0,0,0,0,0,0,255,0,0,0,255,255,0,510,510,510,0
13,0,765,1020,1020,1020,765,1020,255,255,510,765,510,510,0,0,0,0,255,0,255,255,510,0,0,0,0,0,0,0
14,765,1020,1530,0,0,0,0,255,0,255,255,0,0,0,0,510,255,0,0,0,0,0,255,0,0,0,255,255,0
15,1275,1275,1785,765,255,510,0,0,255,510,510,510,0,255,765,1275,765,1020,1530,1530,1275,1530,1530,1785,2295,2040,1275,1020,0
16,510,510,1020,1275,1275,1020,1020,765,1275,1530,2550,1530,1275,1020,1785,765,510,1785,510,255,510,0,765,765,0,0,0,0,0
17,0,255,510,510,510,765,0,1020,1275,255,510,255,765,255,255,510,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,255,0,255,0,255,255,255,255,510,765,0,510,510,1275,510,255,510,255,0,255,255,255,255,765,2805,1020,0
19,0,255,510,255,1275,255,1275,1530,765,510,765,1275,1785,1020,1020,1275,2550,510,255,1530,1020,765,255,510,1020,1785,2040,765,0
20,0,0,255,0,0,0,0,0,0,0,0,510,510,0,255,0,0,0,0,0,255,0,765,0,0,0,0,0,0
21,510,510,255,510,255,0,765,0,510,0,0,0,0,255,255,1020,0,255,0,0,510,510,765,255,0,0,0,0,0
22,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,765,1785,1785,765,510,1275,1530,510,0,510,510,510,255,765,1020,1530,1530,1020,1020,1020,1020,1020,1785,510,765,510,510,1785,0
24,510,510,1275,0,0,510,255,0,0,0,0,510,0,0,0,0,0,0,255,255,0,0,255,255,510,0,0,0,0
25,255,1275,510,510,2040,1275,510,0,255,1275,510,255,255,0,510,255,1785,1785,2040,1275,1275,2040,2295,2805,1785,1020,255,510,0
26,1020,1275,765,1785,510,1785,2805,2805,1785,1275,255,510,1020,1020,765,510,1020,1275,510,1020,1785,1785,1020,2040,2805,3315,4590,3825,0
27,0,510,1020,0,255,0,0,0,0,0,0,0,0,0,0,510,255,0,0,0,0,255,0,0,0,0,0,0,0
28,255,255,510,765,0,0,255,1020,0,0,0,0,510,0,0,255,0,0,255,0,510,0,0,510,255,255,255,0,0
29,0,255,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1020,0,0,0,0,0,0,0,0,0,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,255,0
31,510,510,510,255,0,765,1020,255,255,0,255,255,255,255,0,0,0,255,255,0,0,0,255,765,255,510,765,0,0
32,510,510,255,255,255,0,0,255,765,510,255,510,0,0,255,1530,1020,765,1020,765,255,0,0,255,255,255,255,0,0
33,255,0,255,765,1020,0,0,0,0,0,510,0,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0
34,1020,765,1275,1020,255,0,510,255,255,0,255,0,0,0,510,510,0,255,0,0,255,510,510,0,0,510,0,0,0
35,0,0,0,0,0,0,255,510,0,0,0,510,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,255,0,0,0,0,0,0,0,0,510,255,255,0,0,0,0,0,0,255,0,0,510,765,255,255,255,0
37,255,510,255,0,255,510,255,255,255,255,1020,255,255,255,1020,510,255,255,510,1020,1020,510,765,765,0,255,0,0,0
38,1530,1275,1020,1020,1530,510,0,1785,3060,1785,1020,255,0,0,255,255,0,0,0,255,255,255,0,0,0,0,0,0,0
