,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,43860,19125,51510,26520,6120,255,255,255,0,0,0,1275,1020,1275,1275,1275,1275,1275,1785,56100,53040,29580,63240,74970,25755,26775,33405,24480,0
1,143310,133620,168555,158100,84405,122910,208590,151980,167280,170085,236895,235365,179010,177735,185895,179520,165495,80070,57630,138975,141015,125970,172890,102000,63750,81345,111690,88740,0
2,28560,39780,14790,31620,38760,13260,12240,16830,15555,19890,40035,5865,6630,6375,43860,32385,52020,49725,68340,118320,86955,98175,88995,190485,91035,64770,41565,37995,0
3,69615,36975,28560,27285,37485,71145,38505,30855,19380,17850,160140,41820,23205,4845,7650,29325,6375,8670,10455,34170,35700,765,5610,10965,19635,69615,39270,40545,0
4,24225,111690,11985,4845,100470,32385,14025,135150,15045,3570,174930,5100,765,116280,39015,64770,137445,5610,7650,90780,13515,7650,92310,5865,3825,52020,8415,19380,0
5,46920,23460,16320,19635,17850,12495,43095,43860,18615,15045,26775,17085,21420,15555,9180,6375,4080,13515,12750,10200,8415,5355,6630,18360,33915,8415,6630,4845,0
6,441660,584460,442425,411570,549015,329460,320280,348330,283560,372555,365925,307020,607665,284070,282030,375360,255255,304215,327930,333540,291210,294780,246585,495465,316455,317220,201450,167790,0
7,245820,176205,149685,183345,207315,215730,187425,173910,118830,105060,109140,101490,152490,64770,83895,87720,78540,94860,81345,72930,76500,68850,103785,119085,58905,80580,150960,152490,0
8,174675,148410,208080,157080,107355,118065,128520,117045,149940,96900,117300,275655,111945,54825,71145,51000,45900,72675,87465,71400,100725,65025,73185,243270,56610,26775,49470,46920,0
9,12750,7395,7140,9435,7905,19890,9180,13770,22185,20145,25755,10710,6375,11220,13005,5355,14280,4335,7140,6630,10200,8160,13260,36975,23715,17085,7395,16065,0
10,17850,8670,12750,13770,13515,27285,9690,4080,11220,11220,19380,22185,19635,48960,51255,52020,35700,43095,33405,55080,50490,46155,56100,45390,36720,26010,34170,41055,0
11,161670,152745,148155,125715,119595,109905,129030,147645,152490,160140,163455,166005,71655,68340,82110,68340,65025,80070,118575,79560,46410,69615,61710,72420,108120,116025,104295,118065,0
12,172380,156315,143820,171105,135150,149430,175440,188445,154020,138210,190995,151215,134130,156315,133620,170850,188955,210375,202725,143055,120870,181560,181305,152490,113220,106080,92820,134130,0
13,117045,55335,27030,12750,7395,10455,255,0,2550,2805,6120,5865,3315,1785,2550,3315,15555,4845,5610,8670,7140,2040,5610,79815,44625,5865,13770,12750,0
14,38760,10710,0,0,12750,72420,58395,49980,42075,14535,27030,53805,13770,18870,43605,6120,9180,38505,18615,15810,53550,15810,46665,81855,9435,11985,32385,10455,0
15,10965,4080,765,2550,77520,31365,27285,37485,53805,83640,67830,82365,54570,70890,70635,60690,57630,59160,46155,30855,53040,30090,40035,37740,13770,17085,29070,10200,0
16,214965,212925,207315,212415,317985,207570,205530,188955,199920,279480,171615,172380,129285,137190,248880,188190,193545,210120,198390,278460,232305,230775,250410,244800,298860,239700,258825,258315,0
17,52275,7905,6120,13770,46410,33915,35190,48705,27540,20910,53550,28815,5100,11985,24990,12240,22950,14025,13260,14025,8415,11730,22695,22440,25755,11220,8925,9690,0
18,180795,149685,138975,171870,164220,166005,148665,139485,136425,136680,150960,140760,112965,118320,104295,98430,98430,93075,93075,117300,80835,101490,142545,95625,85170,86700,81090,65025,0
19,63750,3060,1530,59925,81090,86445,60435,71655,52530,26775,142545,25500,6375,4590,17850,9180,765,1530,20400,13515,13260,2805,765,1530,2040,765,510,4335,0
20,104805,70890,44625,35190,43605,77010,77775,56865,55080,56100,63495,52785,59415,44625,49215,48705,34170,45390,39270,27030,22950,29070,40290,44880,27030,33915,65535,56610,0
21,75735,34170,46410,65790,51000,67830,45900,44880,83130,60945,90525,112965,91290,117555,161670,142545,153000,151725,140250,138975,159375,116535,117300,154020,92820,91035,99705,69360,0
22,169830,128010,134130,146880,147390,162690,128520,149175,166005,133620,164220,187935,149940,157335,170340,132855,131325,179775,136425,132090,130050,105825,126225,109905,75480,72930,109140,85425,0
23,121635,94350,80325,102255,134385,121890,125970,126990,107610,133110,144075,169065,130815,114750,95115,23970,16575,71145,20910,12240,82620,23970,36720,147900,24480,16065,102000,115005,0
24,23715,26010,15555,18360,25245,16065,15810,32130,30345,24735,32640,89505,67320,54060,44115,37230,52530,56865,64770,87465,59160,49725,75990,73185,44880,50490,39270,69105,0
25,50745,30090,18360,30600,52275,37485,30345,35445,30855,37995,58395,36720,29070,29070,38760,30090,19380,24480,22185,23970,14280,13515,19890,32895,22695,15300,14535,13005,0
26,63750,19890,24990,141270,138975,146370,157335,135660,101490,105570,137700,210630,114750,86700,87465,76245,85425,64005,78030,86190,97410,94605,131325,147390,81600,95880,90780,68850,0
27,53550,96645,70125,78030,54825,61965,58140,52785,218535,56610,66045,45645,38250,29070,43605,204000,67575,51255,42585,53550,34935,39525,230265,37740,41055,61455,112200,27795,0
28,127245,96135,106080,76245,93330,130305,88740,91545,126990,97920,112965,137700,110160,90780,122655,117300,132600,142035,117300,102510,130305,87975,88995,116025,67575,67320,98940,78030,0
29,113220,132345,89760,73950,131835,90525,96135,126990,120615,131835,148410,103275,117045,141525,145860,150195,204000,167790,158100,202725,189465,219300,281775,214710,199665,274380,221085,201195,0
30,35700,5865,0,2295,212670,342720,238935,219300,331755,200175,163965,284835,153510,124950,223125,139230,125205,215220,199665,150960,221850,159630,162690,256020,164475,154275,282795,186405,0
31,75990,24480,8160,10455,40545,55335,64260,38250,22695,34170,59160,32130,9690,7395,31365,21930,40035,16575,14535,12495,6630,61455,75480,62985,79560,16320,13515,10200,0
32,39780,39270,22695,16575,54825,62985,36465,27285,17085,27795,49470,41055,36465,24990,18870,17595,24225,34170,32640,41055,29070,20145,52785,21675,22950,21675,21165,29835,0
33,43350,20400,15810,17850,92820,74460,22695,13005,56865,59670,69105,21930,10455,9945,67830,20910,30600,38505,58140,29070,15555,7395,10200,153255,45645,24225,21930,5610,0
34,52530,23970,33660,30600,42840,78540,54570,58140,57375,33150,67830,45900,31365,43350,67830,41820,45645,48450,40545,35955,46410,25500,36720,41310,21165,25755,33915,24480,0
35,217770,240975,254235,188190,231285,266475,281010,331755,374850,272595,300390,316965,275910,259845,248115,231030,186915,207060,204765,176460,201450,197115,226695,227205,173655,200940,172380,137190,0
36,64005,82620,41565,64515,66555,109650,91290,82365,85425,56610,70635,58650,22440,23460,82875,78030,66555,58395,25245,31875,47685,36465,54315,78540,46410,41820,65025,54060,0
37,106335,67575,110160,82110,120105,177480,110925,90780,93075,117555,156570,148155,105570,113220,151725,111690,137190,150705,96900,77265,122145,64005,79815,113730,70125,74205,87465,67320,0
38,53550,38250,16065,23715,73440,71145,70125,53040,46665,43350,68340,64770,42330,34680,44115,36975,49470,66810,72675,57375,44880,38505,41310,66300,27540,34170,30090,29580,0
