,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,34,18,58,17,2,0,2,2,0,0,0,24,11,2,3,2,2,2,2,44,65,42,70,62,49,47,62,47,0
1,55,55,48,60,44,49,56,53,66,71,34,11,65,61,45,69,53,60,68,55,54,49,35,33,95,70,66,83,0
2,57,58,58,52,85,22,10,11,46,70,76,14,6,12,65,14,5,3,7,42,35,14,27,3,69,22,11,8,0
3,80,12,6,6,9,68,15,6,7,17,3,15,4,5,9,79,17,3,10,28,87,12,14,7,6,81,12,7,0
4,44,52,32,18,22,54,28,8,22,26,13,19,4,5,12,21,13,21,26,14,38,20,14,18,12,27,20,16,0
5,44,60,56,51,29,19,18,43,40,34,41,47,40,30,25,26,12,14,23,25,19,17,21,59,28,19,18,16,0
6,3,6,5,7,3,6,11,11,7,3,5,5,9,8,8,8,10,10,7,5,10,13,8,8,4,4,14,15,0
7,43,40,45,43,48,42,45,67,47,50,61,52,21,22,19,30,35,34,28,33,47,46,63,51,28,56,30,57,0
8,25,42,9,52,31,36,36,48,32,46,48,6,54,35,42,48,39,33,41,47,24,57,57,8,58,34,36,60,0
9,45,19,25,17,13,18,11,11,12,7,46,48,24,6,4,8,14,7,11,8,3,6,53,62,28,12,13,25,0
10,13,5,7,5,4,34,23,9,9,7,10,16,4,8,10,27,14,14,13,12,11,20,21,24,13,9,9,15,0
11,4,6,6,5,7,12,8,9,7,5,18,12,4,5,3,2,6,5,6,4,4,2,14,9,4,4,2,5,0
12,40,68,50,42,50,33,57,63,39,36,19,42,28,42,42,67,63,33,42,50,61,52,16,56,77,70,57,62,0
13,46,45,50,18,12,16,6,3,4,4,11,21,4,1,2,4,6,9,5,3,1,5,11,55,47,14,11,17,0
14,86,13,3,0,20,62,80,51,42,30,72,69,32,30,32,17,18,41,47,50,79,56,60,81,25,19,41,24,0
15,27,6,4,4,77,65,76,62,35,34,39,36,37,49,68,51,29,46,54,67,59,41,64,62,48,44,49,37,0
16,6,9,12,11,9,11,9,10,12,17,10,11,8,9,16,10,10,12,11,8,4,6,10,7,6,6,7,3,0
17,76,15,11,14,76,62,62,55,38,26,61,62,21,30,38,28,32,19,11,14,13,14,46,38,15,10,10,12,0
18,41,29,16,29,44,31,46,37,34,28,38,50,30,36,35,21,11,16,22,13,17,23,37,33,19,10,9,14,0
