,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,5412,4168,7519,2175,299,234,263,121,110,62,30,3392,1899,697,606,489,636,362,285,12399,11303,8580,12209,17467,9731,8077,10656,5498,0
1,39537,36454,44417,40149,27996,35317,45870,41934,44550,53433,67354,80023,62037,59791,68403,60776,58504,26971,19253,49965,47204,43427,55202,37512,23799,31261,35287,33041,0
2,12332,15710,10042,13339,15971,4847,5412,5715,8088,11607,12421,1692,1057,2098,13176,6143,11960,13797,17210,36692,23888,20097,22106,53143,28241,14864,9703,8547,0
3,21136,10036,7868,5926,7761,16621,8867,6472,4450,5385,66729,9172,5316,2707,3199,13180,3349,1947,3162,7422,12168,1833,2811,4705,5010,19603,8099,6008,0
4,12141,28375,4853,2981,27951,6913,3846,34829,2982,3016,59598,2470,899,29284,13907,17805,29200,3055,2787,26108,5299,3198,22882,3097,2470,14989,3706,2596,0
5,13935,9958,10296,8801,5921,3793,3896,6839,8834,6793,10452,10250,8382,5906,4420,3951,2701,4046,4825,4037,5253,2870,4688,9627,5904,4903,3981,3845,0
6,93859,110611,95001,81486,88979,75158,66006,62784,64206,82474,84863,68432,78051,53426,54346,72662,58970,51046,52400,58155,53896,48669,61121,76857,67536,51200,38437,34218,0
7,42797,34038,30111,33808,36819,34037,31557,33558,28628,29683,30319,26921,36589,18618,19904,20634,22162,19517,16905,17021,16204,14366,21669,21920,12639,17777,39488,41103,0
8,44200,42541,66686,44705,36802,35566,39418,34932,42808,34691,39370,76886,31883,18685,22891,20452,13755,23897,19057,12932,27518,18880,18858,60768,14486,8246,16715,14468,0
9,6773,2994,3701,2509,2610,3112,2868,3744,4867,4574,8161,9275,3993,1489,1344,1906,1944,1713,1948,1772,1656,1756,5801,8845,4475,2748,3031,4460,0
10,5778,4287,5090,4832,4036,11599,5513,3027,3874,6678,7684,8490,8508,12817,14609,14888,10504,9383,10634,15031,13202,14220,18487,16513,13530,10605,9926,13945,0
11,19384,19372,18817,16631,15127,13826,16511,19959,20583,21667,22457,18589,10731,9981,11146,7960,7498,10381,12908,8565,7979,8372,11838,13054,14520,14215,12455,13556,0
12,65555,60346,54869,64023,51527,55924,71378,67159,54573,49576,72736,53370,48767,59173,52262,62837,62151,66450,69464,54826,51486,63900,71768,61279,52677,49811,41470,52416,0
13,19133,16259,7190,2219,1903,2711,583,299,666,778,1676,3912,1529,936,838,1457,1966,2485,1878,1390,1384,1503,2272,17163,8428,3626,2918,5137,0
14,15006,2175,186,37,3580,30369,20209,13593,16359,5526,8965,21648,5230,6744,12335,3734,3680,13190,10233,9453,24768,8572,9925,23886,4188,3657,14345,3273,0
15,5138,1236,448,959,11602,12179,13634,17592,20124,22138,29162,28483,25809,25166,16353,19554,26011,19906,11298,12982,17345,9402,13352,20097,7462,8713,11629,7786,0
16,63330,62556,65865,66395,85403,65288,63671,60218,58947,74420,62863,58816,51289,53115,76686,57343,60259,59891,61241,78763,65476,66338,71259,74665,83789,66407,69360,73851,0
17,12909,3142,2505,4053,17413,15649,12974,10554,8504,6003,11941,11422,5631,7302,10181,8252,7947,5673,5046,4779,4648,5623,9768,8802,4665,3433,3902,4025,0
18,35789,30564,28707,33676,39151,36758,34656,31419,28248,28179,34101,32603,25987,27351,28859,25371,23901,23157,24126,23055,22815,24713,32454,27316,23113,21457,20124,20042,0
19,7378,1873,1097,5803,10552,18075,11860,15390,8280,6323,32550,9989,1480,1053,6655,2635,870,729,3913,3680,5008,2088,1541,2280,1512,1041,605,2602,0
20,50442,39137,20326,19477,26151,36931,45751,33822,27445,30491,34665,30434,32017,30455,27525,32122,25041,26055,24621,17762,14849,18331,27310,27055,16079,19578,38747,37088,0
21,18734,15392,17713,26928,28786,29544,21317,19907,21961,16920,23562,30671,23483,25948,34138,30147,30487,35915,29289,30041,34464,27991,29708,39263,24802,25107,25994,19389,0
22,54852,44387,45352,57711,52358,57196,43513,43677,54012,49507,55699,65308,54069,60013,57138,44607,43509,48997,38322,33947,37132,34255,42635,45717,26968,26407,32922,25646,0
23,51932,42315,40380,45394,56384,50363,51536,48619,46054,47442,56507,63458,51934,46518,39307,11973,9707,30860,12455,9971,31563,11933,17748,55017,12361,9027,44338,43809,0
24,10438,10577,10799,10959,11531,11997,14666,14564,13464,13166,17748,16966,14598,16180,15948,13163,14395,15537,17667,18870,16797,15253,20109,16706,13297,13309,13163,12742,0
25,12122,7907,7149,9942,16971,15173,11485,10215,10192,9853,14464,18436,12196,10848,12252,7871,7565,8187,7005,8377,8850,8161,11560,14271,9610,5983,5478,5197,0
26,16202,3805,4862,33067,42026,42275,39469,35449,30147,28550,40739,62221,30123,24387,26283,25496,27378,22447,24056,22941,27672,27507,34565,38425,24626,29603,27133,23754,0
