,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,71400,66300,80070,78285,63240,42840,60180,67065,79050,50235,90270,91545,57375,36720,33660,48960,61965,53550,46410,60435,67830,86445,133365,100470,66555,44370,66555,88485,0
1,94095,80325,68085,54570,60435,84150,45645,75735,55080,56865,88485,84660,59670,59925,74715,37230,52530,75990,80580,112965,89760,71655,110160,162180,132345,118320,135915,112965,0
2,234855,210885,196095,204000,186150,229500,207060,220575,183855,216240,238170,224655,215730,228480,176460,221085,181815,167790,202470,217005,194310,198390,253980,242505,223380,201450,172890,209100,0
3,85680,87210,147645,160140,168555,170850,169830,151980,142035,159375,167790,177480,138975,182325,32385,9690,0,0,0,0,0,0,0,510,0,0,0,0,0
4,279735,264435,230520,238935,232560,235620,285090,254235,224910,203745,224145,220065,230520,243015,287385,291975,342465,282285,293760,314925,263160,197115,188190,162945,186150,240210,205020,231285,0
5,66300,95880,59415,63495,92820,96900,106845,97155,95880,111690,114240,73185,55845,72165,81600,91290,106845,90015,73950,77775,84915,87210,101490,134895,87465,94350,29580,20400,0
6,100215,73185,22185,24225,46155,42840,35955,31365,154785,61710,97665,107865,96900,90270,104550,93075,137700,31620,35445,39780,33150,42075,48450,145095,87720,20655,27030,50745,0
7,18360,35700,8925,25245,43605,29835,34935,17850,3315,17340,13770,9690,1785,6375,4590,2550,4335,6885,7650,8670,3825,1785,4080,15810,3825,5355,6120,765,0
8,76245,104295,82110,106590,151725,135915,123165,127755,155805,183600,178755,138210,104295,132855,212415,113220,97155,101235,125715,143310,127245,109140,136425,131070,141015,111690,80325,108885,0
9,132090,106335,85935,111180,125970,93075,110670,102000,70635,109140,191505,52785,64005,119340,115260,118575,80835,70890,76245,114750,126480,93075,84915,64515,75990,116790,72165,83130,0
10,63240,74715,56100,44115,65025,56100,38250,64005,39780,22950,38250,28560,6375,12495,13770,10455,39780,83385,38760,42330,44625,33915,42330,46665,31875,44115,57120,32130,0
11,81600,51255,56610,54570,19380,19635,30855,16575,29580,39780,57120,46410,13770,8670,9435,26520,17850,13515,34935,13770,39015,67320,52530,33660,8925,16830,15045,61455,0
12,5355,7140,5355,18615,9435,6120,20145,32895,22695,11730,26265,33660,12750,13515,15555,4080,3825,3060,11730,31875,31620,9945,24990,33660,10710,22440,17340,27795,0
13,49215,65535,60690,47430,42330,81090,92055,77010,67575,92055,119850,62730,23460,34935,91035,21675,42075,42075,28560,45135,49725,32130,39015,36210,55590,40290,41055,56100,0
14,116535,101490,108885,35445,26520,13260,10455,7650,43350,46410,65280,61965,18870,1530,3825,49980,8415,510,1785,765,255,0,7395,2295,1530,1530,6375,4845,0
15,224400,263160,299115,338640,346290,360060,356745,387855,375105,342975,349095,332010,321555,325635,328695,317220,278715,251685,249900,222615,219555,232560,264690,262905,250155,328950,295290,302685,0
16,332775,316710,330735,384285,444465,418200,377910,372810,316710,305745,280500,246840,231540,198135,211140,233580,211395,212925,225675,240975,241740,261375,314670,294525,281010,279480,296820,318240,0
17,32385,54570,167280,147390,187425,151470,16830,22695,111690,116535,149175,81090,10710,12750,89250,78540,70890,75735,14280,8925,31110,33150,18870,31110,34425,32385,2040,1530,0
18,33405,27030,378420,355215,351645,347565,54060,89505,476340,387600,395760,479400,121635,139995,488835,529380,269280,240465,546210,543150,176205,184875,524280,544425,168810,175950,537540,217005,0
19,22950,20400,22440,18615,43605,32640,35955,52530,49725,51510,57630,55590,56610,56610,61200,67575,86700,51000,70635,79305,67065,94095,95625,85170,76755,107865,100215,103530,0
20,13770,14790,30345,2295,1275,1020,255,0,1785,255,510,92310,78030,91290,52530,33405,68595,73950,18870,18105,128520,81600,152235,62220,34935,30855,31875,40035,0
21,64005,42330,24735,37485,25245,39270,36720,19635,45645,19380,50235,119085,117300,78795,41820,22185,8415,71910,18870,8415,10710,34680,63750,88485,41820,68340,65535,59160,0
22,6630,8160,10455,16575,11985,14280,8160,14535,11220,22950,16320,22440,24225,12495,8415,15555,15810,20910,7650,9690,7905,10455,36210,11730,5355,4845,16320,11730,0
23,105060,114240,188700,160650,169830,143055,106845,113730,121380,109905,177990,92565,71910,83895,122400,92310,95370,152490,147900,126225,121635,113220,144840,223380,170850,87720,99705,146370,0
24,30090,43860,39270,22950,19125,16065,25245,10710,21420,24225,44880,94605,41820,24735,28305,29325,18615,24990,43605,40290,38505,34935,45645,110670,85680,52275,46665,52275,0
25,101235,102000,134385,172890,167280,136935,158610,105570,95880,124950,240720,110670,114240,136935,141270,162690,166515,181050,184620,192525,161160,171615,247350,236640,157080,116025,138210,156570,0
26,180540,231795,287385,256020,249645,238425,258315,205275,211650,274635,245565,305745,294015,259080,258825,239700,260355,265200,301410,229500,244800,279735,291210,366180,365925,367965,350880,441150,0
27,127245,105570,85935,52785,39270,28560,30855,23205,25245,31365,31875,34935,14790,29835,61710,49725,18105,32895,25755,30855,23460,21165,33660,64770,53295,36465,41310,35700,0
28,106080,70125,101235,56865,23970,19635,48450,53040,21165,19890,67320,88230,100725,88230,129540,97155,24990,20145,68595,79560,80070,73185,66555,70125,93330,74460,72930,88230,0
29,52020,65025,44370,28560,16065,4335,8670,9690,3060,7905,28305,4080,3570,9690,10965,3570,3570,2805,1530,1020,6375,3060,8670,6375,3060,3060,3825,11730,0
30,47430,25245,12750,10710,13260,34425,2550,4845,8160,6120,16575,29325,4590,15810,12750,2550,13260,13515,11730,17085,7140,27795,23970,5610,4080,8415,18105,1020,0
31,36210,56610,41565,15555,16830,30345,42075,22440,19635,11730,15810,32640,41820,34170,16065,14790,22950,16320,21165,26010,14535,12240,17595,33150,18360,12240,31110,14025,0
32,38760,49725,71145,82620,45135,31620,18615,36465,83130,56865,74970,46410,42330,54060,60945,99450,64515,65280,59415,53040,61200,35445,60180,21675,22185,71910,44880,33660,0
33,46410,33915,35190,40290,45135,20910,29325,30090,20655,25245,68595,39780,23460,28560,18105,18870,24735,14790,14535,26265,21675,21420,49980,27030,16065,19125,18105,17340,0
34,148665,133875,120615,94350,120105,101490,105570,139230,132090,129030,147900,109650,74205,119085,156315,108120,122145,117300,112965,114240,123165,129540,159375,149430,138975,142290,160650,212415,0
35,27795,27795,10455,18615,35700,32640,39270,38250,25755,46410,62730,63495,43605,49980,62475,52785,65280,32895,37740,56865,43350,29070,69105,71145,59415,35700,23460,25245,0
36,72420,45390,61455,60945,57630,71655,63495,61710,37740,52785,61965,55845,52530,49470,63495,62475,51510,49470,59160,65280,81855,61455,65280,67065,78030,93330,77265,91800,0
37,92055,93075,74460,61200,62730,60690,45390,64260,80070,50745,85680,66300,41820,40545,52020,45645,53805,48960,30855,56865,59670,40545,61710,48195,32385,60945,64005,2040,0
38,73440,79560,63750,44625,38760,26520,44625,52530,62220,54570,51510,51510,51000,35190,41565,62475,39780,7650,6885,20145,16065,17340,30855,18105,5610,3570,3315,8160,0
39,37995,119595,64260,32640,41055,28815,46665,41310,43095,48960,64515,99705,63495,66045,47940,94350,50745,40290,43860,82875,55335,29835,49470,1275,1020,0,0,0,0
40,19635,13515,22950,13515,26010,22950,12495,6630,5355,31110,16830,36465,14025,17850,15810,17340,10455,16575,13515,10200,21165,13515,27285,70890,23460,8415,22950,21930,0
41,98430,86190,112710,120615,100980,98175,102510,105570,134895,167535,164475,156315,150450,131835,151470,158865,122910,164475,129540,107865,102000,119340,125970,146370,129540,136425,142290,119085,0
42,3570,1530,3825,1785,765,2550,17340,15045,20400,47940,193290,124185,99195,102510,120360,97920,88230,75735,91545,70890,65790,52275,65025,57375,65280,30090,18615,22440,0
43,77520,67830,48705,41055,50235,35700,32640,33405,32385,40290,48195,54570,40800,42330,39015,43860,36210,31365,43605,38760,48960,41310,41055,69360,57120,34425,29835,26010,0
44,63750,47175,62220,47940,44370,68340,83640,68085,76245,84405,97920,169830,107100,81345,108375,102510,93585,94605,109905,52785,48705,38760,34680,107100,24990,15810,24990,17850,0
45,60435,64260,65025,47940,61455,72930,37485,50235,63495,46920,68085,142800,277185,395760,494190,719355,589815,328185,269790,316965,315690,470985,319260,187170,192525,350625,208845,190485,0
46,28815,30600,36720,20400,24480,45390,38250,26010,41820,11730,27285,41310,14790,12495,31110,11985,30090,26265,19380,19380,18105,18360,28305,27285,13260,21930,22695,19635,0
47,32385,62475,29070,32385,32640,20145,14535,21930,42075,37485,56100,51765,32640,45645,49215,19125,26520,57375,19890,18105,35445,16320,27540,47175,26265,24990,45900,32895,0
48,32130,26520,21165,54060,60435,13005,14790,17085,35190,47685,47685,22440,13515,12240,42585,8925,11730,15810,22185,29580,11730,8415,25755,109650,33915,14280,12750,9435,0
49,71145,52020,55335,26010,52530,65025,54570,61710,37230,21930,49980,23715,22440,30090,20145,2295,5610,15810,9180,7650,20145,13770,29325,15555,1530,11475,14280,2550,0
50,20910,10965,10710,19635,20655,37230,6885,8415,26775,80580,90015,7905,6375,3825,9180,20910,6630,2550,2040,7140,19125,11730,2040,5100,8160,27030,15300,255,0
51,20145,15810,110670,13515,7905,80835,13770,10455,63495,85425,84405,12495,16320,107355,6120,14025,73440,70635,49215,94860,53040,8925,22440,76245,27540,16830,24735,45135,0
52,63495,12750,21420,72675,81600,97410,92310,122910,132855,69105,83895,97410,80070,82875,87465,88995,67830,59415,43350,54060,62475,21675,40800,46410,46155,43860,36720,91290,0
53,65280,31620,12495,10200,1530,4590,5355,15810,13005,11985,15555,17850,7140,8925,3570,3825,11730,6120,1275,2040,6375,6375,23970,31620,10965,8670,40035,59670,0
54,33150,39270,30600,20655,7650,7140,40800,31875,10965,16065,19125,79815,21165,29325,96390,86700,37995,24735,73185,84150,17850,36465,107865,94350,11730,13260,3825,5610,0
55,6120,5865,7650,3060,4335,6375,3825,7140,1275,3570,1020,12495,14790,32895,13260,10200,125460,16320,23460,191760,189720,13005,13515,8925,1530,3315,215220,196350,0
56,30600,44625,51510,43860,69870,31365,34425,108630,97920,123165,108120,121890,124185,133110,141780,143565,174165,36720,39270,142035,138465,144840,171870,164475,156315,116280,94605,89760,0
57,21675,16320,11985,20400,25755,14280,9180,28305,16575,4590,5610,510,1020,7140,2550,1530,1785,8415,2550,0,0,1275,32385,765,0,0,0,510,0
58,21675,24225,29835,20145,50490,35955,23205,27795,27795,15300,34680,37995,34170,81345,70635,30345,49215,39015,38505,35700,51000,53295,67575,56865,60690,53805,58905,61965,0
59,56610,93330,85935,74205,75990,80580,87465,64515,40035,44370,89250,52020,29325,38250,35445,60945,60690,49725,54060,34935,30345,50235,84405,87465,47685,64260,56610,63240,0
60,17085,27285,27285,11475,6375,5610,38505,17340,1530,6630,8160,47685,5355,8160,6630,3570,11985,6120,4590,11475,1785,1785,23715,25245,8925,11220,71145,22185,0
61,33150,73440,51510,51000,43860,31875,29325,21165,20655,29325,47940,33150,17595,48195,22950,49470,36210,21930,21165,33915,40545,39270,73695,30090,9945,17085,44880,41055,0
62,18615,12495,14280,22695,22950,25245,21930,21675,35445,72675,102255,73695,20655,13515,16320,23970,32385,20400,15810,21930,19125,14535,14280,24735,11220,15300,11985,11985,0
63,49725,39015,34425,45390,26010,28050,46665,47430,46665,74715,118830,60435,59925,63240,65025,80325,101235,115260,140760,143055,147900,174420,177480,157590,156315,137700,182070,194310,0
64,4590,3315,10965,42330,11220,4335,2040,5355,25500,3060,7905,7395,5610,28050,6630,510,4845,14790,15810,13770,6630,1530,8670,17085,5100,1530,255,765,0
65,334305,330225,374850,378675,327675,247605,210630,230010,198390,205275,205785,123675,43860,65025,68340,63240,30345,37995,29835,23205,75990,48450,68850,76500,45645,73440,54060,74205,0
66,110160,133365,152490,154020,146625,130815,44880,49470,333030,211140,172635,316455,46920,52785,168045,172125,133110,149685,49470,70890,206295,136935,133620,164475,98685,137700,132855,107100,0
67,8415,15045,105315,80580,61965,55080,24990,18870,81345,80070,124440,76245,83130,76755,75225,64005,84150,81600,20655,19890,97920,80580,95880,121890,22950,23970,184365,187170,0
68,97920,82875,106080,122655,128520,81855,50745,38250,31110,19635,52785,14025,4335,2040,12495,18870,28815,40545,51510,51000,94350,107610,126225,85170,71655,75990,59160,76245,0
69,86700,71145,104550,103785,115515,103275,117555,138975,157845,117555,138210,154275,117045,103785,94095,65535,89760,121125,112455,82875,80325,121380,113220,124695,104550,108120,95370,69360,0
70,251940,277695,167535,232815,269790,166515,201705,246585,248370,184365,251685,260610,192270,220830,311610,268770,225675,177225,121125,149685,275655,172890,205020,324870,210375,198645,266220,227205,0
71,91545,81855,65790,78795,101235,46155,57375,105825,63750,86700,153255,119085,74205,154275,76245,132600,209355,135660,79050,185895,88485,133365,140250,11475,9945,98430,86190,92565,0
72,44115,70380,38505,54060,75225,68595,52530,59925,90015,50490,47175,193545,111690,89760,68595,64005,53550,68340,50235,43605,28305,16575,22185,145350,21930,4080,9180,102255,0
73,28305,41820,92820,83640,92820,108630,131580,145605,134385,119340,147900,223380,166260,156315,140760,99960,90525,68085,68340,117810,84405,58395,103020,12240,7140,9180,17595,54060,0
74,131325,150705,150705,142290,145605,137445,154275,153765,155550,137190,159120,142545,154020,177735,153765,169065,193545,168045,174930,168045,176970,157845,176205,150960,98685,108120,88740,96390,0
75,22695,14535,32895,17085,16320,21675,20910,24480,14025,16575,32385,36720,20145,36975,38250,46410,32130,39780,38250,25755,31875,30600,45390,51510,60945,49215,52530,50745,0
76,56355,50235,53040,38505,30600,34170,37740,51255,59415,26775,43605,63750,54315,64260,59925,53550,26775,32130,54825,27030,35190,27795,75480,103275,66045,44115,22695,40545,0
77,162435,113985,108120,114750,121380,114240,80835,103275,101745,119850,152235,148410,116535,123930,109395,112200,107100,95625,108120,101745,116025,162435,170595,155550,134385,135405,138210,108375,0
78,62985,32130,40035,48705,33915,11220,11730,27285,27540,22950,36465,16065,14790,10710,13770,20400,31110,43605,50235,43095,37230,52530,51765,35445,54060,52275,54825,49725,0
79,174165,163200,96645,97410,86445,117300,109905,128265,150960,141015,165750,183090,143565,119085,121380,95370,105570,106845,119850,106845,103275,102000,82110,93075,85170,37995,43095,28305,0
80,60690,50745,63240,66300,53040,35445,34935,40545,28815,33915,68595,47430,42585,45645,60945,49215,52275,58395,58395,53295,39780,32895,59160,75990,75990,49725,33915,42840,0
81,17595,8415,9945,7905,9180,13515,7650,13005,19890,66045,153000,32130,12495,6885,12750,7905,14790,7140,6885,15045,7650,5355,37995,15810,3315,8670,7395,4845,0
82,50235,42075,75480,139995,44115,33660,11985,255,255,1275,155805,162690,151215,152490,180285,112200,116790,98175,81855,60435,83130,71910,103275,113220,92310,5355,510,0,0
83,61455,23715,21420,39015,28560,24225,16065,15810,37740,50235,43860,38760,21675,20910,28815,24225,23205,47940,29580,31620,32895,26010,28050,45135,38505,43605,24225,27795,0
84,468435,439110,454665,412845,390660,391170,464355,412845,485010,457725,509235,514335,487305,530910,642090,520200,484755,397290,415650,454920,472515,356235,457215,403155,446250,439875,428145,464865,0
85,314925,289680,268515,263160,233580,215220,264180,252195,227715,264435,296820,333030,259080,255255,275400,332775,308040,279480,323340,370260,342210,283815,304725,295545,300135,326655,298860,280755,0
86,82620,57630,71400,117810,70890,30600,39780,3060,27795,113730,102765,80325,49725,58140,130305,84150,109650,85425,74715,117555,86700,75735,113475,306765,120615,85170,81090,86190,0
87,49725,55335,58140,99705,126990,87210,83640,84660,110925,150195,126225,83895,82365,125970,162690,87720,88485,77010,84660,114750,84660,80325,116535,73695,81600,157845,77520,75225,0
88,4845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54060,42075,28305,47175,62730,59670,43350,29835,93330,75735,23205,0
89,9690,16065,17085,26775,13005,8415,11220,18105,29325,21420,37740,33150,54315,37485,30600,35700,30345,32130,29580,27285,23205,11985,15810,15555,3060,1020,10200,23205,0
90,27030,13260,5865,8925,23460,14025,11730,14025,9435,12495,19635,14280,5610,9690,5865,4590,13005,18615,22695,18105,7140,6120,17085,20655,10965,9435,6375,10965,0
91,162690,121125,124185,127500,203235,230010,255255,182580,185130,215730,218790,204255,118065,134895,163710,173910,125460,81600,146625,206805,172380,375870,161670,115770,127245,156315,184620,128520,0
92,27285,69105,46155,28305,55590,92820,98175,105825,118320,143310,139995,144840,99450,109650,94605,93585,99195,99705,92565,73440,71145,75225,74205,90270,75990,79305,66045,64770,0
