,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,6120,1785,1020,10965,1530,510,4080,3315,1530,7905,16320,10200,3060,0,1020,765,510,2805,8415,1785,510,1020,10965,6630,1785,1785,2550,6120,0
1,42075,59415,47940,46665,66810,49215,35445,33915,36465,33405,51510,25755,24225,30855,28050,36210,20400,19635,35700,39270,36720,28305,46665,38760,23205,32130,33405,29070,0
2,142035,140760,193290,183600,217515,211905,200430,199665,161925,164985,179520,144585,85935,86190,121380,113730,70890,67065,102510,128520,91545,78795,96390,178500,124950,76755,104295,206040,0
3,58395,51000,186150,187425,72675,27030,25245,144075,157845,24735,18105,58905,12750,18105,141525,16065,13515,22695,27540,15555,2805,1275,162945,162690,124950,14790,11475,7905,0
4,69360,85425,62985,52275,44370,30345,22440,29580,46410,41055,67065,19635,8160,26010,19125,27540,42585,61710,67575,43860,36720,36975,44625,65280,57375,54570,34680,33405,0
5,7395,0,0,0,5100,18615,26775,40800,27030,13515,37740,220320,77520,41310,11730,8415,9945,7650,9180,11730,36975,18615,80325,18105,13260,50745,18870,14025,0
6,113475,133110,182325,174675,187935,207825,150960,154275,163965,182325,198390,133620,134130,155040,150705,179265,227460,207825,169320,176715,168555,196605,202470,184620,181050,213180,163200,199920,0
7,21675,15810,41820,48705,37740,52275,144585,77265,31620,25755,57630,286620,75480,35700,36975,67830,80325,129030,125970,103530,102255,118320,244290,370005,149175,91035,67065,92310,0
8,120105,107610,71400,90780,87975,73950,47175,26265,37995,77520,98430,36720,26265,27795,78540,40800,13005,14025,21930,57630,16575,15810,114495,107610,43605,23460,10455,13770,0
9,38760,29070,38505,6375,7650,7395,18105,23715,11985,19635,52020,74205,26265,18870,21675,9690,10200,10200,4845,5355,6375,11220,48960,39270,6885,7395,10455,16320,0
10,4845,1020,0,0,14025,510,0,0,255,0,0,1275,0,0,0,0,0,0,0,0,255,255,765,510,0,0,510,0,0
11,112710,61710,16320,6120,9690,10965,22950,51000,105570,33405,38505,48960,30345,47430,60435,46920,68085,131835,66300,60690,102000,40035,45900,139740,67320,101745,119850,57885,0
12,2805,10200,17595,4080,4590,15810,25755,2295,1275,1275,2550,54825,10200,2040,255,2295,255,510,15300,510,0,4845,2040,71400,30600,9180,22185,8670,0
13,30345,15300,11475,2805,1020,9945,33915,30345,20910,16830,33915,6375,255,510,2295,510,1020,510,1530,3570,8160,6120,11985,4335,0,765,510,0,0
14,180795,149685,138975,171870,164220,166005,148665,139485,136425,136680,150960,140760,112965,118320,104295,98430,98430,93075,93075,117300,80835,101490,142545,95625,85170,86700,81090,65025,0
15,63750,3060,1530,59925,81090,86445,60435,71655,52530,26775,142545,25500,6375,4590,17850,9180,765,1530,20400,13515,13260,2805,765,1530,2040,765,510,4335,0
16,75735,34170,46410,65790,51000,67830,45900,44880,83130,60945,90525,112965,91290,117555,161670,142545,153000,151725,140250,138975,159375,116535,117300,154020,92820,91035,99705,69360,0
17,121635,94350,80325,102255,134385,121890,125970,126990,107610,133110,144075,169065,130815,114750,95115,23970,16575,71145,20910,12240,82620,23970,36720,147900,24480,16065,102000,115005,0
18,2550,5100,7140,5100,15810,24480,25245,23205,13770,15810,20145,15810,4590,1530,510,1020,3570,3570,2550,1020,1020,3315,1530,5355,1275,26010,18105,7905,0
19,49980,12240,6630,17595,40035,28560,19125,11985,7905,8670,28815,30090,6120,4590,4080,4845,2040,6630,4080,5100,4335,1530,510,2040,510,1530,1275,1785,0
20,118830,77265,35190,11985,47175,125460,125715,97410,88485,81090,112200,102510,46665,40035,65790,53295,84915,64260,67320,64770,61965,22440,24480,118830,65790,83385,65535,58650,0
21,52530,23970,33660,30600,42840,78540,54570,58140,57375,33150,67830,45900,31365,43350,67830,41820,45645,48450,40545,35955,46410,25500,36720,41310,21165,25755,33915,24480,0
22,241485,335070,221085,230010,264690,206805,198645,253215,234600,202470,237150,173655,154020,184620,263415,215220,192270,275655,220830,147390,207060,169065,163200,184110,153255,156570,183600,279480,0
23,443955,414120,469710,359805,329715,322575,274635,265710,269535,218790,223125,226695,149175,118830,157080,128010,119595,174165,149175,180285,160650,158865,164220,210375,199155,158355,187170,172125,0
