,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,7,5,6,6,4,2,3,5,4,12,32,17,11,6,3,4,1,3,20,3,0,1,61,29,10,7,8,7,0
1,17,31,37,26,24,29,9,10,16,8,10,5,4,7,6,3,4,4,4,5,5,6,11,5,4,7,3,4,0
2,41,37,29,31,34,30,36,41,34,22,6,28,52,56,63,63,47,42,57,39,44,49,50,11,62,36,48,41,0
3,91,82,50,34,67,44,34,48,38,22,37,44,22,30,34,23,15,32,44,24,5,2,37,41,15,16,12,12,0
4,26,23,60,62,50,54,20,25,63,56,56,59,19,16,12,13,48,57,33,20,26,28,42,49,62,53,22,17,0
5,7,2,1,1,13,28,40,40,34,19,61,17,59,56,18,11,17,25,18,16,59,30,78,17,8,50,33,25,0
6,39,42,41,63,40,50,59,59,52,63,55,76,22,18,25,40,58,67,46,31,20,22,38,33,36,54,25,33,0
7,3,25,78,71,44,61,47,59,29,18,24,5,89,45,44,30,33,37,64,45,46,46,14,1,67,42,18,14,0
8,51,53,74,61,51,61,56,20,21,83,79,34,13,16,72,35,14,16,19,75,11,14,27,40,65,21,10,12,0
9,83,48,27,22,19,13,16,11,19,25,51,61,43,44,39,29,20,12,18,21,18,14,43,52,23,24,22,40,0
10,8,5,1,4,29,3,2,3,2,1,3,10,4,1,1,2,3,2,1,0,1,0,1,7,5,1,2,1,0
11,24,61,32,13,20,22,40,62,40,52,71,36,37,38,31,21,40,27,61,51,51,26,43,28,41,53,53,30,0
12,27,66,55,20,21,62,65,15,8,5,22,52,38,17,6,5,5,7,36,12,7,7,18,62,71,43,47,35,0
13,36,31,33,7,7,21,32,37,44,40,38,24,13,4,8,6,6,9,5,7,20,33,34,13,2,1,3,0,0
14,41,29,16,29,44,31,46,37,34,28,38,50,30,36,35,21,11,16,22,13,17,23,37,33,19,10,9,14,0
15,52,11,8,36,63,96,75,95,60,46,52,67,10,7,38,7,6,4,26,25,25,10,12,20,10,8,6,19,0
16,55,22,48,54,52,46,52,47,58,39,56,56,37,35,37,36,38,44,37,30,38,38,50,58,48,50,52,33,0
17,32,39,26,21,39,37,33,40,28,31,42,48,48,45,45,45,37,30,41,35,23,40,50,34,56,41,18,16,0
18,7,9,8,13,25,27,21,33,38,13,37,39,21,9,5,8,8,7,6,4,4,1,2,30,21,50,23,12,0
19,34,45,15,40,59,82,74,39,27,27,64,68,26,21,20,16,21,12,16,13,14,1,4,8,6,13,9,10,0
20,61,58,22,11,67,55,60,74,74,82,62,61,85,82,101,71,61,55,74,70,64,61,95,83,66,64,69,79,0
21,76,24,17,34,49,72,61,74,64,47,60,57,14,48,53,56,50,67,51,36,33,25,50,53,21,31,45,16,0
22,10,4,11,10,14,14,18,9,18,21,12,27,18,7,6,4,7,4,14,17,10,21,20,16,16,17,7,14,0
23,45,47,30,32,47,52,47,32,21,45,39,26,45,38,38,54,54,50,44,39,48,33,26,38,57,28,41,44,0
24,31,10,5,7,16,32,37,58,53,44,42,45,37,56,56,37,34,16,17,23,19,25,30,37,25,23,9,15,0
25,46,22,13,15,52,63,59,55,55,38,45,58,28,25,29,35,40,51,26,24,29,20,38,47,18,26,36,20,0
26,7,16,27,47,35,34,42,39,51,44,28,48,38,24,18,21,36,25,37,25,11,15,13,19,8,10,31,39,0
27,43,32,21,22,40,40,30,45,54,42,30,41,25,36,32,48,21,20,18,13,16,20,34,40,21,17,21,27,0
28,25,7,6,25,63,56,61,49,58,46,49,62,33,42,56,43,38,51,32,23,37,25,34,48,21,19,28,38,0
29,33,10,8,11,35,27,36,21,12,9,23,24,12,19,46,18,10,8,8,10,8,15,37,37,23,21,28,35,0
30,43,12,6,5,34,67,69,41,11,10,60,60,54,64,19,8,7,11,7,6,5,6,10,10,9,65,15,6,0
31,10,18,13,15,16,16,15,11,12,12,8,3,8,14,8,13,18,19,23,25,29,32,24,18,29,34,43,37,0
32,20,23,25,25,26,23,24,22,21,17,35,48,25,33,38,34,27,30,30,25,22,23,21,29,25,13,36,42,0
33,62,44,31,33,50,50,54,49,33,22,30,59,38,32,37,42,42,29,22,27,16,22,50,56,45,36,27,15,0
34,14,16,16,13,22,24,23,24,23,14,28,35,24,26,16,19,28,14,12,22,21,30,38,34,21,27,19,25,0
35,30,26,21,24,29,23,13,15,22,13,23,24,16,16,37,26,22,13,16,17,10,11,17,50,25,12,18,11,0
36,47,25,34,45,46,46,49,45,39,54,45,41,59,56,58,54,46,47,38,36,44,40,60,52,63,46,59,62,0
37,38,45,22,19,38,47,53,58,51,50,40,51,30,62,64,69,49,35,28,26,19,20,54,49,31,22,17,28,0
38,39,18,13,15,55,48,24,18,11,21,42,51,31,31,24,19,25,16,20,34,25,18,32,46,19,9,12,14,0
39,37,32,26,38,52,41,31,52,36,34,31,3,38,32,47,57,51,46,32,28,32,25,40,7,36,41,30,29,0
40,47,15,4,5,22,68,101,102,46,26,74,69,31,35,54,49,43,31,28,26,28,20,37,57,16,25,20,19,0
41,16,10,9,15,14,13,13,15,16,14,14,18,11,16,11,9,18,14,14,11,10,9,10,13,11,12,12,6,0
42,30,31,40,29,23,26,30,28,30,23,10,48,48,45,51,40,57,49,42,31,44,26,24,43,53,35,37,39,0
43,57,24,18,4,4,1,2,5,24,35,75,49,17,14,26,21,7,6,2,5,7,8,20,21,10,7,7,4,0
44,45,47,30,32,47,52,47,32,21,45,39,26,45,38,38,54,54,50,44,39,48,33,26,38,57,28,41,44,0
45,12,40,58,36,49,42,48,53,59,47,36,43,54,31,61,41,19,36,26,15,16,35,11,35,67,50,52,35,0
46,28,57,70,39,30,35,41,46,49,49,49,42,38,54,31,61,41,19,36,26,15,16,35,11,35,67,50,52,0
47,36,35,18,25,24,18,31,43,47,38,50,30,10,16,19,19,39,42,20,11,10,28,26,2,3,28,20,14,0
48,63,55,23,27,60,55,61,56,60,41,61,68,33,28,32,44,75,52,23,20,19,21,37,72,24,20,41,14,0
49,47,33,24,28,28,40,42,47,41,37,45,37,33,48,48,32,29,25,27,25,19,19,20,46,26,17,14,23,0
50,28,19,14,12,17,15,18,17,18,21,28,24,14,13,13,19,15,17,20,18,15,13,18,24,13,16,15,18,0
51,38,28,19,17,26,45,42,47,38,37,43,42,33,51,49,24,28,25,20,21,20,36,47,42,39,30,31,25,0
52,58,52,26,19,53,76,90,54,32,40,60,79,58,70,81,59,41,39,37,35,39,35,57,78,43,41,43,55,0
53,63,28,11,16,28,59,67,70,49,44,53,59,45,69,60,73,55,27,37,37,35,42,58,39,72,52,23,22,0
54,12,17,21,7,7,6,22,24,26,27,28,5,29,12,9,20,13,18,27,16,17,22,23,15,20,23,21,9,0
55,20,11,14,51,67,58,44,42,34,25,51,60,27,20,36,46,27,14,9,9,5,7,42,55,11,12,10,18,0
56,3,6,6,84,42,43,9,11,3,8,13,7,17,11,6,13,13,13,24,26,30,25,8,15,25,31,21,25,0
57,58,35,18,21,28,35,49,35,37,43,32,30,37,33,33,39,40,36,38,41,19,32,31,32,37,35,33,32,0
58,19,13,8,21,30,17,16,14,14,21,18,10,14,11,6,36,39,15,14,10,12,12,12,12,19,25,14,16,0
59,43,26,49,37,72,69,38,43,49,33,49,32,34,15,22,19,32,34,25,17,23,26,47,49,19,29,22,29,0
60,60,24,17,26,49,58,53,44,52,40,59,52,57,61,50,54,48,25,26,34,46,44,64,59,37,44,33,37,0
61,62,25,12,5,35,76,79,75,73,78,69,76,29,37,63,62,49,64,60,53,42,34,77,77,31,27,41,66,0
62,62,64,4,7,8,21,27,28,24,25,9,20,21,12,8,6,10,2,6,17,8,5,7,6,4,10,9,7,0
63,72,35,8,15,33,76,70,64,76,75,62,71,45,49,62,43,39,50,47,44,35,36,64,73,33,24,23,40,0
