,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,218535,263415,228225,167025,111690,98175,134895,107100,83895,344505,807585,838695,267240,121125,96135,89760,12240,40545,579105,107610,48195,72165,1675095,924120,217260,154785,161670,180540,0
1,763980,1062075,1083240,798405,941970,919785,387600,445995,489855,374850,535245,277185,222360,308550,326655,269280,268005,316965,356235,340425,384285,341955,493935,370260,282540,387855,286110,261120,0
2,3030675,2944995,3269100,3486615,3661800,3644715,3258390,2977635,3288225,3724275,4290120,3331830,2033370,2034900,2657355,2251650,1907400,1751850,2351610,3330045,2167245,1841355,2659650,3837495,2828970,1811775,1934175,2877675,0
3,2416635,2022150,3387165,3057960,1956360,901680,837675,1635060,1680960,571965,646170,1569525,444465,512040,1329060,663765,572475,918510,1117665,589305,80325,54570,1420095,1612110,971550,370260,352920,252960,0
4,2656845,2857275,2366910,1902555,1536885,1220175,785910,831045,2013225,1589925,1777860,1106445,380715,529380,449310,469710,1427745,1774035,1316565,965940,1072020,980220,1380570,2193510,1810755,1552185,966705,736440,0
5,319770,40545,23715,20145,366180,1120470,1291575,1576920,951660,530145,1340280,3862230,2256750,1580745,734910,353430,535245,917235,588540,846855,1201305,638010,2573715,377145,241485,1740120,471240,400350,0
6,1858185,1871445,3811485,3282105,3721470,4162365,2693055,2410260,3046995,3038325,3444285,2346765,1366290,1294125,1535100,1918365,3534810,3592695,2352375,1908165,1709520,1753890,2401335,2165715,2018325,2730540,1750065,2099925,0
7,123165,460785,1672800,1478490,1541730,1841865,3385635,1744965,929475,683910,1139595,5285385,2784345,1200540,1102365,1135005,1052895,1711305,2389605,1471350,1394340,1837020,4874325,5362905,3286950,1317330,765000,870315,0
8,2274855,2189940,2011695,2223600,2656080,2215440,1388475,520455,823140,2352630,2642565,891225,397545,481950,2311065,1003170,497250,384285,657135,2031585,444975,485010,3219885,3026850,1813815,613275,308550,318495,0
9,2025975,1218900,778005,486285,400605,299370,695130,570435,634440,839970,2192745,2457690,1240065,1124805,1185495,692070,553860,428145,368475,367710,458745,394995,1445085,1576665,562275,427890,480420,814725,0
10,309315,126480,39270,47430,543405,156825,78540,85170,28050,22950,32895,240210,90270,58140,59415,55590,90780,49980,38505,0,14790,10455,59415,230520,107100,58140,55590,44115,0
11,3203820,2062440,689010,288405,329970,556665,933555,1604460,2775420,1266075,1666680,1464975,911625,1051110,1013880,885615,1424430,3311175,2200140,2166990,2010165,949110,1239300,3263490,1924485,2033370,2241195,977670,0
12,895050,2197080,1658010,600780,531675,1917600,1739100,421515,224655,204000,525300,4147575,1313250,453390,353685,168300,96900,173655,1052385,353175,253470,194565,365925,3737280,2320500,1494300,1453755,1095225,0
13,1197480,792285,744345,224655,176715,440895,1837275,1268370,1010565,919020,1488435,599505,185385,96900,194820,101745,122145,180540,145095,178755,504645,798150,936615,350625,63495,40290,43095,9180,0
14,1928565,1425960,1303560,1711815,2373795,2168520,2213145,1843140,1655970,1711815,2240685,2063970,1494555,1804890,1934175,1368840,1240320,1246440,1250010,1288515,1340280,1469310,2286330,1613895,1250265,1133985,1107465,1185750,0
15,1272195,309315,193545,855780,1510620,2468400,1799790,2279955,1336200,1098030,3921135,1349970,197115,188190,1023570,333540,102255,112965,580890,568140,746130,275910,282540,387855,198645,154530,87720,352410,0
16,1772760,1184220,1454520,2627775,2807805,2603295,1962990,1955085,2049435,1574880,2266950,2410260,1645515,1750830,1985430,1800300,1947945,2172345,1782960,1715895,1953810,1711815,2135370,2532150,1617465,1813815,1803360,1203855,0
17,2856000,1981095,1515720,1684275,2784345,3000330,2916180,2605335,2185095,2057340,2747880,3126300,2184075,2088195,2236860,1602675,1250010,1572840,1617210,1315035,1646790,1597830,2231505,3084735,1567485,1197480,1382865,1419840,0
18,368475,447015,252960,436815,877965,772650,925650,1163310,946815,558195,1011840,1310955,757860,382755,244800,320535,425085,266730,247860,154275,76500,86955,143820,1141125,734655,1373175,837165,660195,0
19,2779755,822630,425085,1059015,1571565,2100690,1528980,915450,525810,540600,1664385,1649850,487815,395250,398565,276930,372300,316710,355215,307785,252705,48450,49980,163710,131070,170085,129030,142035,0
20,3057960,1618230,529635,341445,1839570,3688065,3640125,2811120,2301885,2256240,3243345,3481770,2118030,1892865,2110125,2110125,1701360,1700850,2001240,1835745,1923975,1444830,1902300,3163530,2159340,1984665,1946415,1930095,0
