,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,1074,1321,1119,1017,641,516,739,488,528,2001,4982,4640,1314,607,472,502,72,231,3201,487,215,398,8972,4795,1125,893,1120,1040,0
1,7576,10171,10343,8763,9941,9413,5300,6376,5899,5800,7500,5365,4955,5831,7061,5855,5480,6102,7009,7131,6631,6397,8175,8018,6910,7164,5510,6540,0
2,53278,53234,69372,72007,75511,73747,70448,62495,43791,45607,51926,39775,25395,24974,30064,23271,21464,23598,30262,40124,28053,26904,33205,43384,31893,25258,35229,63726,0
3,17785,13114,62713,62284,15054,5559,5506,51215,54895,4182,4651,18571,2622,3511,47668,5009,4461,8058,10306,4634,597,385,55820,57752,46603,2946,2824,1888,0
4,27003,27613,20871,18814,16686,11882,10807,15429,22022,17655,23595,9429,3012,11593,9522,11759,20141,22094,18462,16114,15777,15620,19524,25247,22502,20136,13621,15005,0
5,2135,278,138,100,2980,10706,13605,17132,5916,2897,8634,43235,20301,11253,3859,1794,2866,5717,4232,7949,7574,3230,19481,3232,1513,15054,2694,2159,0
6,45741,46705,68097,59321,72275,73439,56399,55429,56877,61361,69753,57541,56297,61621,60097,63890,84638,81092,67121,69405,67772,70427,85423,80451,83637,85137,77788,82714,0
7,632,3025,12695,11145,10004,12419,26154,11371,5946,4992,10139,57138,17711,6663,7992,13286,15645,24372,26584,19741,19489,21180,50126,68621,30588,13523,10318,14824,0
8,19137,19157,16828,18323,21871,16307,10464,5255,8170,18682,21095,10166,5365,7251,20090,9699,5313,3725,6839,14732,4367,5033,28851,30484,14464,4443,2844,2914,0
9,13127,7551,4889,3297,2570,1931,6795,5227,4670,6537,20072,23109,8821,8478,8742,4841,3970,3383,2632,2612,3256,2955,13902,14413,3967,3257,3546,5930,0
10,1670,788,226,250,3103,713,458,496,174,161,181,1192,514,329,359,363,570,339,278,0,115,31,312,1646,599,329,374,291,0
11,33012,16611,4794,1505,1764,2983,5055,10405,24232,8460,11318,14731,9459,11212,19098,16272,25277,42069,18434,20255,27960,9012,11218,38551,20852,21050,28734,13620,0
12,4050,10789,8814,3543,2928,10395,8555,2010,1264,1095,2679,26483,6280,2281,1747,867,505,793,4988,1897,1465,1031,1774,23906,12952,7489,7159,6130,0
13,7340,4379,4364,1122,945,2380,13993,8162,6577,5682,10400,4235,1229,603,1622,772,771,1251,1001,1251,3905,5100,6205,2576,469,542,384,33,0
14,35789,30564,28707,33676,39151,36758,34656,31419,28248,28179,34101,32603,25987,27351,28859,25371,23901,23157,24126,23055,22815,24713,32454,27316,23113,21457,20124,20042,0
15,7378,1873,1097,5803,10552,18075,11860,15390,8280,6323,32550,9989,1480,1053,6655,2635,870,729,3913,3680,5008,2088,1541,2280,1512,1041,605,2602,0
16,18734,15392,17713,26928,28786,29544,21317,19907,21961,16920,23562,30671,23483,25948,34138,30147,30487,35915,29289,30041,34464,27991,29708,39263,24802,25107,25994,19389,0
17,51932,42315,40380,45394,56384,50363,51536,48619,46054,47442,56507,63458,51934,46518,39307,11973,9707,30860,12455,9971,31563,11933,17748,55017,12361,9027,44338,43809,0
18,1835,2159,1274,2187,4197,4304,5092,6282,4887,3006,5387,6530,3898,2194,1384,1677,2524,1722,1523,931,466,463,685,6052,3876,6812,3929,3170,0
19,27529,5247,2426,8452,13263,16619,10635,6652,3366,3603,16358,15660,3781,3126,3009,2133,3252,2674,2838,2374,2594,478,315,989,938,1251,1159,1254,0
20,33059,18994,13670,3163,14013,42538,43623,36153,31652,31394,42458,44853,17848,17222,29683,29681,25871,24722,26593,26967,27580,12091,15277,36314,25182,24752,25934,24802,0
21,23097,14029,18149,16823,21837,33152,28646,26031,29157,19956,27361,24284,13873,19276,35957,25970,25509,30472,19673,16070,18780,14535,19574,23642,12306,14195,21366,13747,0
22,64448,78603,60307,53294,55014,42036,36981,46105,39687,35114,53517,36796,32775,58957,70391,49649,46435,62244,41566,30001,39102,34244,32954,44725,41994,37909,37560,40039,0
23,129989,126194,127474,111380,102363,102666,90083,94343,97918,78898,82132,85991,62833,55983,59400,47499,48346,64569,59640,56301,60234,60215,69181,78505,62739,65594,70770,63322,0
24,57606,57194,57403,59290,55014,58453,71411,62535,57745,57562,69138,90763,79498,82568,87831,87217,76301,73525,80928,78453,70579,69232,80631,71830,60976,63364,59052,49603,0
25,18824,13968,14484,11899,21764,24810,18062,17917,19000,13651,19706,24320,13963,13239,15560,12611,13520,16143,10691,10297,11735,8717,10447,14854,7125,7882,11963,8724,0
26,48678,39964,33846,27105,21881,24368,30214,25666,26676,27986,35330,32711,21576,19593,18650,20420,28605,30322,24426,19800,18098,15730,37592,22965,22925,21663,30786,30472,0
27,50573,43361,43105,47180,58883,64725,67511,66579,65226,68261,78785,84875,78805,84890,98038,95324,98503,102150,102511,100971,100048,98260,106221,109808,88775,77359,66347,65938,0
28,24489,22687,21785,25363,38181,41369,37379,35393,37984,33004,38263,40556,33899,36782,41881,33991,35541,43496,33610,32351,36229,29994,32080,39419,28819,27954,35634,32101,0
29,33558,37181,41788,43482,48757,47167,47237,44826,40658,36652,40887,47837,42321,43159,45840,40203,38685,37190,35039,34264,33600,35998,45228,39972,32719,33569,36366,42351,0
30,8227,3137,3524,3425,6945,17787,16685,7551,3836,3630,12949,16726,17535,14534,4689,4249,2795,2779,2728,3069,2611,3729,5094,3118,3324,17066,3374,2807,0
31,38319,44091,50300,52843,43791,49584,56976,50631,49060,54523,57837,64438,58432,55994,49561,54022,49422,42456,45290,40873,37753,44655,50060,51927,39267,32997,28465,30822,0
32,9771,10837,11238,12957,15423,12447,13921,16663,13060,18381,29441,21467,23007,28268,26389,29299,30142,24754,29633,29558,32811,34228,42209,39199,38558,45351,7597,7644,0
33,14959,28014,7967,8822,27216,16480,13568,24142,8173,6207,24862,11481,7123,23974,12358,13389,26459,6379,5915,22107,5344,5493,27638,13290,9192,20963,6450,4575,0
34,6210,8791,6937,6857,7225,8030,9518,7306,9262,8288,10512,13718,11336,14262,9473,9181,12324,12158,15498,11747,12506,15141,16589,18994,13339,14352,15373,16433,0
35,8201,10266,8382,9187,11424,9478,8662,9774,9211,10367,12003,11595,10779,11723,13127,11844,11755,8751,9428,7678,5675,6895,9793,11573,8138,6434,2939,1876,0
36,31702,27194,32758,33842,36151,40793,36906,34492,36779,32145,37241,45731,33811,34431,39272,30184,30990,32932,30320,29600,34442,29290,35651,46225,32820,34160,31464,27435,0
37,60488,45187,35482,35990,47371,53236,55369,52400,52486,50766,63662,56768,48820,56249,64608,64576,54955,52084,48160,50879,49246,51157,62805,61479,47332,46686,48409,48252,0
38,31622,3499,2349,28260,34461,32068,7478,5040,27512,26778,30998,6226,4911,29521,28673,26745,4971,3834,26737,28526,28699,4426,5073,29809,27435,23685,3794,3590,0
39,13169,12768,13936,18864,21652,19749,18833,16691,14962,16854,26656,53724,25953,16804,15423,16998,18354,14673,11616,10565,11050,10958,17821,51680,23807,12383,8415,7450,0
40,9092,17136,13906,13284,15684,25414,21651,17105,21890,22887,31758,37376,27469,29484,35142,34870,33831,30584,31425,31534,30356,5147,5956,38886,32167,37376,40171,39888,0
41,71291,62161,104950,97948,82088,96877,72764,68871,110030,100630,96388,101027,66474,68419,116156,69155,66020,104076,73368,68048,100468,65336,69887,122314,62636,63942,112952,70797,0
