,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,110160,106845,110415,108375,182835,149175,107355,82110,107100,48450,68850,56865,49470,44115,46665,42330,52785,78030,67065,48195,58395,52785,82110,100470,68085,63750,76500,64260,0
1,159630,184365,178755,190230,198645,147645,147135,151215,183600,148410,161415,225930,116280,131580,144075,174165,131835,138720,163710,123675,167025,159630,188445,169575,120615,128775,109650,128775,0
2,327930,202215,208080,259335,216495,157590,193290,264435,154530,135150,242760,37485,20910,59925,112200,205785,131325,71655,57630,62985,84915,104040,113730,280500,110160,51510,53295,107610,0
3,68850,39015,35190,25245,65280,85425,81090,59670,70890,42075,100980,99705,71400,41055,54060,30855,37230,49980,48705,51765,71910,57630,70890,66810,51510,48195,53040,56355,0
4,128265,60180,28560,22695,79050,93840,70890,60180,34680,33150,79305,51765,40800,36210,38250,29070,40035,19380,19635,20400,31620,24225,47430,60435,30600,22695,31875,20145,0
5,8160,2805,44625,53805,74970,83130,65535,34680,40545,46665,66300,30090,24225,40290,46410,32895,26010,34425,13515,25755,31365,37230,37230,21165,11985,13260,13260,20655,0
6,41310,52785,35955,13260,6885,5355,10710,4080,3825,3315,7650,11730,2040,2550,2040,3570,14535,6375,7905,13770,510,0,6375,20655,20655,16575,3570,765,0
7,107100,118320,132345,116535,147135,175440,155550,160650,157590,156570,186915,155295,100980,97155,109395,87975,80070,80325,52530,31620,40800,23715,37485,41565,26265,27540,38760,31620,0
8,38760,20400,16065,7140,23970,66045,65280,51765,57120,41820,54825,48195,26010,32640,44880,35700,40800,37740,21675,23970,32640,32640,42585,63240,30600,31365,47940,31620,0
9,33405,19125,10200,25245,90015,60690,52530,35700,20910,35955,33405,31620,17085,18105,34425,21930,31365,23460,16830,25500,30855,24990,46410,33150,16320,12495,15810,17850,0
10,81855,43860,27540,24225,84150,111945,88230,55080,30345,21420,62730,56610,17595,57630,123165,58650,40545,33660,20655,25245,26010,25245,40545,51765,29070,21675,26520,28050,0
11,57375,64005,106590,116535,59160,53550,116535,77265,49470,74460,95115,208845,79815,51000,70890,71910,19890,15555,28050,45645,149940,166005,206805,105060,80580,97920,111435,113985,0
12,25245,10965,5865,41055,82110,67065,54315,35700,48450,31110,64515,72930,31110,19125,28815,38760,24735,52275,19380,12495,30090,22695,53295,49215,22185,39525,13770,19380,0
13,23970,2550,1785,3825,127755,153510,135405,106080,117300,108630,111435,81600,57120,43095,44370,49470,53040,47430,39525,72930,48195,46665,92310,73440,56100,55845,97410,91800,0
14,62220,44880,42840,53295,56100,62220,71655,53550,43350,33660,55335,45390,37740,39015,38505,36975,31875,30090,42330,34680,31875,52785,69870,49725,22695,27795,27030,27030,0
15,25755,16575,28050,32895,20655,25500,11985,15045,27285,54060,56100,26010,13260,20910,6375,20910,28050,10455,13260,8160,24225,8415,35700,25755,17595,6120,7140,1785,0
16,4335,255,7395,16065,24225,14025,11475,2295,6375,1530,3825,2550,765,0,1275,255,1020,0,0,510,0,255,510,6375,11220,0,0,0,0
17,3825,2550,4335,21675,39525,37740,44370,24225,10710,17340,35700,59925,20400,17085,11730,11985,17595,16065,9945,15555,24990,49980,43095,32130,7650,20910,47430,44625,0
