,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,3702090,2739720,2854980,3068160,2649960,2485995,2292195,1809990,2019345,2029035,3012570,2821830,1545810,1506285,1412955,1325490,1605990,2157045,1659540,1352010,1405815,1255110,2045100,4018545,1769190,1391280,1431315,1565955,0
1,4819245,4985505,4026705,3560055,4313835,3674805,2872575,3439695,4167975,3625335,4489785,5792835,2960550,2863395,3829080,3765330,3424650,3545010,3816840,4057050,5041860,4095045,4891665,4077705,3265020,3961935,2515830,2644605,0
2,7851195,4989840,4395945,6646065,6017745,3166335,3502425,5639325,3554955,4317915,8334930,1417545,971550,2317440,4603515,7141785,4968675,2810100,1982115,1700085,2575245,4141200,4669560,7806315,3707955,1455795,1919895,4278390,0
3,3223965,1369350,1163310,1288260,2551530,3422610,3066885,2726715,2315145,1997670,3128340,3351465,1941825,1870680,1961970,1636845,1625115,1827840,1721760,1544535,1584060,1582275,2380680,2619615,1415505,1608285,2062695,1886490,0
4,2728755,1524135,600525,733125,2108085,2439075,2296785,1847730,1401480,1156170,2248845,2503845,1139340,1431315,1400715,1066410,1023570,956250,842775,867000,817785,984555,2402355,2595390,1166880,961095,853740,777495,0
5,479910,190230,529380,901425,2015265,1646790,1198245,879750,858330,982770,2319735,1109760,540600,782850,1635825,1151070,828495,761430,511275,501840,808605,927180,1504500,880770,413355,466140,328440,438345,0
6,1533060,1874505,1315800,516885,264945,321045,351900,202980,160650,115005,458235,603330,112965,98940,126480,101745,108630,83640,112200,65535,62730,34935,274890,1168920,531675,361335,133365,80580,0
7,3605190,2290920,2774145,3811740,5497035,6170745,4179960,3899460,4114425,3599835,4936290,3979785,2213910,2397510,4749630,3524100,3474630,3618450,2057340,1944375,2134350,1875270,2762670,2582385,1433355,1542750,1980075,2128995,0
8,1434375,1010565,668355,532440,1214055,2695095,2888385,2610180,2134095,1372920,2357475,2811885,1250010,1349205,1862010,1395615,1557540,1863540,1224510,1139850,1373685,1245420,2079015,2972025,1291830,1346910,1814580,1220940,0
9,1640160,816765,423300,522750,2321010,2254200,2048670,1555245,1011585,852720,1887255,1934175,770610,1055445,1324725,903720,796365,765765,639030,526575,593130,836910,1871190,1776075,668355,494700,462315,463845,0
10,3885435,1702380,1075845,1052130,3226515,5180325,3882885,1748790,1190340,1056975,2726715,2909550,1093440,2459730,5898915,3205350,1718190,1184475,827730,844560,1086555,1075080,2114205,1855380,908820,984045,1094460,972060,0
11,1513170,1848240,3627630,2532405,1402500,1412190,3104880,2534955,1153110,896325,1859970,5530695,1938255,999090,1698555,2143530,635460,543660,592875,1197990,2778990,3037560,4466070,2086665,1084005,1196715,1586100,1890060,0
