,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,37208,27523,29267,28191,25634,23761,20077,16766,18566,17725,22188,24417,15605,16184,15009,14260,17176,22388,17396,15095,15266,13690,18737,36712,20046,18186,18757,20919,0
1,40946,40271,34884,38205,47269,31681,27444,31777,34207,30239,38842,52082,25740,27494,35495,31434,31150,31877,33667,32130,41666,32158,39627,38028,28537,33103,20589,24352,0
2,64645,43410,42101,54628,49504,32717,34553,42646,30434,29159,59765,8913,5897,12669,24546,50315,29189,17989,15710,13557,17819,26003,29021,58100,23590,10961,13159,24743,0
3,27571,13720,14127,13369,24089,33179,27421,24685,23695,19929,27738,33894,21839,20560,22961,18432,18401,22498,17882,17001,19606,17652,22545,27734,16455,18121,24482,19792,0
4,21140,12649,5324,6083,16993,20555,19698,16037,12156,10699,17873,21151,10974,14132,14075,11031,11508,10006,9033,9169,8933,10656,19450,21212,11611,10744,9760,8479,0
5,3612,1460,11028,17791,22528,21373,16755,12063,12635,12070,21608,11760,6570,8690,15389,10867,8541,8231,5330,5944,9807,10142,12746,7664,4977,5634,3976,5475,0
6,12278,15767,11690,5019,2513,3499,3463,1893,1709,1312,3421,4909,1213,1048,1634,1332,1295,1213,1226,926,858,406,2156,9920,5673,4653,1602,1168,0
7,39658,31049,34795,39296,46035,56979,50566,49132,48369,45326,56034,49222,33826,34438,42757,32806,32296,31912,21358,18768,21926,14492,19065,22858,14488,15287,18818,18194,0
8,12446,9305,6669,5497,11106,24361,24784,22648,20044,12973,18802,25441,13021,14562,20927,14557,16364,19806,13590,12611,16011,13587,18104,26777,13875,14374,18931,12762,0
9,12052,6445,3485,4592,18673,18434,17508,13235,9588,8294,14923,16796,8102,11277,13915,10151,8562,8456,7241,6295,7088,9786,16355,14565,7059,5669,5873,5642,0
10,33376,16563,14528,13276,30743,47917,35970,18835,17166,12585,23865,29148,11982,22767,49811,24750,14132,11346,8420,8763,13049,12408,20215,24870,11054,11968,17634,14553,0
11,14289,17946,34300,22206,14501,14414,29479,25721,15537,17513,23208,56865,19631,12577,16819,19192,6557,6731,8864,12540,41148,49889,60371,42527,29564,32820,34054,31872,0
12,5156,2332,2063,6173,18310,18774,13355,7874,8224,7673,12516,15984,7634,7166,9333,6924,5921,7744,5577,4564,6299,6549,9873,13701,8284,7316,6856,7336,0
13,10863,1272,205,3045,51169,54069,47919,38895,38142,36987,45863,36982,30621,28500,26649,29679,25008,22186,19474,27518,28960,27524,40555,39751,25030,27206,36389,36764,0
14,21850,10104,10619,18052,20730,18871,18211,15530,13490,11106,16702,18230,11836,13736,13660,11694,10379,9759,10088,10520,10704,12804,21088,15972,9225,10276,8678,9043,0
15,7498,5096,5597,8681,7685,6017,4651,5236,5858,4702,6733,12582,6377,4757,4813,4994,4896,5912,5035,3328,4704,2752,4432,12411,6299,4978,5065,3381,0
16,2601,806,679,1796,9131,7035,2942,957,1127,838,1447,3393,1573,1002,1356,615,1615,386,351,628,350,1024,954,7060,1858,520,578,538,0
17,3230,1501,1850,6286,13625,11951,9716,6880,5427,5459,9577,16013,9771,9260,8298,6794,7534,7679,5718,4935,7232,6646,8986,11879,5425,5405,8509,7613,0
18,7134,2171,1559,2394,15952,17334,14382,7136,4493,5418,9882,8802,3272,6230,8176,4482,4426,2887,2940,2871,3136,7059,14316,6595,4827,7637,5769,6244,0
19,13429,7832,12146,11194,11754,6393,4081,4646,5023,8060,19452,7549,2361,2191,2999,2209,3629,2489,2016,1555,2396,5503,13245,7301,1609,817,644,815,0
20,12132,4595,746,355,14403,20973,15571,6202,3753,2849,8930,11238,3040,3307,1063,949,4244,849,600,410,481,486,549,2351,357,322,687,351,0
